"Year","VT_df","Tt_df","df_name","variavel"
"2016-08",0.285991020452784,0.43891411157506,"df_regclim","wue"
"2016-09",0.600427079010175,0.440272866317068,"df_regclim","wue"
"2016-10",0.336884479097157,0.441631621059068,"df_regclim","wue"
"2016-11",0.260290598958143,0.442990375801076,"df_regclim","wue"
"2016-12",0.429057423611552,0.444349130543084,"df_regclim","wue"
"1979-01",0.912643920664322,0.912492159350881,"df_1y","npp"
"1979-02",0.840935568221707,0.911478887423404,"df_1y","npp"
"1979-03",0.908938345958237,0.910465615516438,"df_1y","npp"
"1979-04",0.862822839431372,0.909452343593496,"df_1y","npp"
"1979-05",0.793478145961887,0.908439071674933,"df_1y","npp"
"1979-06",0.811238278185865,0.907425799756366,"df_1y","npp"
"1979-07",0.828864898619842,0.90641252783779,"df_1y","npp"
"1979-08",0.84199856355511,0.905399255919223,"df_1y","npp"
"1979-09",0.964684754297335,0.904385984000651,"df_1y","npp"
"1979-10",0.901968226327669,0.903372712082079,"df_1y","npp"
"1979-11",0.944064583434559,0.902359440163513,"df_1y","npp"
"1979-12",0.986508552676953,0.90134616824494,"df_1y","npp"
"1980-01",0.895123625658013,0.900332896326368,"df_1y","npp"
"1980-02",0.791283641597203,0.899319624407802,"df_1y","npp"
"1980-03",0.897892777814548,0.89830635248923,"df_1y","npp"
"1980-04",0.900031936320793,0.897293080570657,"df_1y","npp"
"1980-05",0.746211237377541,0.896279808652091,"df_1y","npp"
"1980-06",0.856250487041278,0.895266536733519,"df_1y","npp"
"1980-07",0.830547785836136,0.894253264814946,"df_1y","npp"
"1980-08",0.908299065418364,0.89323999289638,"df_1y","npp"
"1980-09",0.903450080513453,0.892226720977808,"df_1y","npp"
"1980-10",0.960601570146779,0.891213449059236,"df_1y","npp"
"1980-11",0.979787302657603,0.890200177140669,"df_1y","npp"
"1980-12",0.897520404186404,0.889186905222097,"df_1y","npp"
"1981-01",0.962061184139461,0.888173633303525,"df_1y","npp"
"1981-02",0.974227776449325,0.887160361384958,"df_1y","npp"
"1981-03",0.854648626464682,0.886147089466386,"df_1y","npp"
"1981-04",0.82119746740471,0.885133817547814,"df_1y","npp"
"1981-05",0.851555406677051,0.884120545629247,"df_1y","npp"
"1981-06",0.817690749140368,0.883107273710675,"df_1y","npp"
"1981-07",0.886382170274794,0.882094001792103,"df_1y","npp"
"1981-08",0.849497907396685,0.881080729873536,"df_1y","npp"
"1981-09",0.99366982050541,0.880067457954964,"df_1y","npp"
"1981-10",0.884045284308844,0.879054186036392,"df_1y","npp"
"1981-11",0.985531539914982,0.878040914117826,"df_1y","npp"
"1981-12",0.861329177263903,0.877027642199253,"df_1y","npp"
"1982-01",0.899868176265059,0.876014370280681,"df_1y","npp"
"1982-02",0.949935933813273,0.875001098362115,"df_1y","npp"
"1982-03",0.931319828441116,0.873987826443543,"df_1y","npp"
"1982-04",0.835543156311555,0.872974554524971,"df_1y","npp"
"1982-05",0.841877876150157,0.871961282606404,"df_1y","npp"
"1982-06",0.784419543819216,0.870948010687832,"df_1y","npp"
"1982-07",0.866874984567803,0.86993473876926,"df_1y","npp"
"1982-08",0.785718837965497,0.868921466850693,"df_1y","npp"
"1982-09",0.825050376944111,0.867908194932121,"df_1y","npp"
"1982-10",0.786126492441963,0.866894923013549,"df_1y","npp"
"1982-11",0.842179467686868,0.865881651094982,"df_1y","npp"
"1982-12",0.821855114102343,0.86486837917641,"df_1y","npp"
"1983-01",0.816702731235595,0.863855107257838,"df_1y","npp"
"1983-02",0.80951755999375,0.862841835339271,"df_1y","npp"
"1983-03",0.758498752700999,0.861828563420699,"df_1y","npp"
"1983-04",0.892539203418714,0.860815291502127,"df_1y","npp"
"1983-05",0.820355776871427,0.85980201958356,"df_1y","npp"
"1983-06",0.737511449659667,0.858788747664988,"df_1y","npp"
"1983-07",0.868344850341374,0.857775475746416,"df_1y","npp"
"1983-08",0.902188920516916,0.85676220382785,"df_1y","npp"
"1983-09",0.917977617074066,0.855748931909277,"df_1y","npp"
"1983-10",1.01616451989034,0.854735659990705,"df_1y","npp"
"1983-11",0.946858722915057,0.853722388072139,"df_1y","npp"
"1983-12",0.938664896493851,0.852709116153566,"df_1y","npp"
"1984-01",0.938852473613425,0.851695844234994,"df_1y","npp"
"1984-02",0.975521614165001,0.850682572316428,"df_1y","npp"
"1984-03",0.861582207201173,0.849669300397856,"df_1y","npp"
"1984-04",0.806208433716635,0.848656028479284,"df_1y","npp"
"1984-05",0.848299394191602,0.847642756560717,"df_1y","npp"
"1984-06",0.849672306015719,0.846629484642145,"df_1y","npp"
"1984-07",0.854134180627794,0.845616212723573,"df_1y","npp"
"1984-08",0.863990901657826,0.844602940805006,"df_1y","npp"
"1984-09",0.906702078147059,0.843589668886434,"df_1y","npp"
"1984-10",0.889849540825166,0.842576396967862,"df_1y","npp"
"1984-11",0.863589433913503,0.841563125049295,"df_1y","npp"
"1984-12",0.889740756413478,0.840549853130723,"df_1y","npp"
"1985-01",0.898482295390887,0.839536581212151,"df_1y","npp"
"1985-02",0.895586823505437,0.838523309293584,"df_1y","npp"
"1985-03",0.872075041994029,0.837510037375012,"df_1y","npp"
"1985-04",0.8210726611407,0.83649676545644,"df_1y","npp"
"1985-05",0.855783958881502,0.835483493537874,"df_1y","npp"
"1985-06",0.881660551337764,0.834470221619301,"df_1y","npp"
"1985-07",0.859239830554298,0.833456949700729,"df_1y","npp"
"1985-08",0.876822738123071,0.832443677782163,"df_1y","npp"
"1985-09",0.898408852821232,0.831430405863591,"df_1y","npp"
"1985-10",0.884216722352711,0.830417133945018,"df_1y","npp"
"1985-11",0.927155223514004,0.829403862026452,"df_1y","npp"
"1985-12",0.912608893995678,0.82839059010788,"df_1y","npp"
"1986-01",0.926957713349341,0.827377318189308,"df_1y","npp"
